,brand,description,link,processed_text
0,VSTAR,Women's Viscose Plain Half Sleeve Comfy Blouse,https://www.amazon.in/VSTAR-Blouse-Perfect-Readymade-Blouse_Black_M/dp/B07RXC3J9J,vstar women viscos plain half sleev comfi blous
1,Jockey,1301 Women's Super Combed Cotton Elastane Stretch Slim Fit Trackpants with Side Pockets,https://www.amazon.in/Jockey-Womens-Relaxed-1301_Wine-Tasting_X-Large/dp/B07JHFDCXV,jockey 1301 women super comb cotton elastan stretch slim fit trackpant side pocket
2,Amayra,Women's A-Line Knee Length Dress,https://www.amazon.in/Amayra-Womens-Rayon-Line-Medium/dp/B07KYT33XQ,amayra women line knee length dress
3,DUMMY SHAPE,Women's Cotton Rayon Green Maternity & Feeding Casual Wear Long Kurti Dress,https://www.amazon.in/DUMMY-SHAPE-Womens-Maternity-Feeding/dp/B08HN5Z7D1,dummi shape women cotton rayon green matern feed casual wear long kurti dress
4,Womanista,Women's Floral Printed Poly Georgette Saree with Mirror Lace (TKIM811_Black),https://www.amazon.in/Womanista-georgette-blouse-TKIM811_-Black_/dp/B08286D6QQ,womanista women floral print poli georgett sare mirror lace tkim811 black
5,Amayra,Women's Cotton Straight Embroidery Kurti,https://www.amazon.in/Amayra-Women-Cotton-Straight-Embroidery/dp/B07HB5PHQC,amayra women cotton straight embroideri kurti
6,ZUVINO,Women's Casual Stylish Peplum Top with Puffed Sleeves,https://www.amazon.in/ZUVINO-Womens-Stylish-Sleeves-XX-Large/dp/B09NMNP8RL,zuvino women casual stylish peplum top puf sleev
7,Jockey,Women's Cotton Capri Pants (1300-0105-BLACKXX-Large),https://www.amazon.in/Jockey-Womens-Cotton-Capri-1300-0105-BLACKXX-Large/dp/B00MIPLXB0,jockey women cotton capri pant 1300 0105 blackxx larg
8,Ada,Lucknowi Chikankari Hand Embroidered Straigh Cotton Kurta Kurti Tunic for Women A188048,https://www.amazon.in/Womens-Cotton-Black-Kurta-M188048_Medium/dp/B073GQP15V,ada lucknowi chikankari hand embroid straigh cotton kurta kurti tunic women a188048
9,Alan Jones Clothing,Women's Cotton Hooded Neck Sweatshirt,https://www.amazon.in/Alan-Jones-Clothing-Sweatshirt-Green_2XL/dp/B09MCZH98N,alan jone cloth women cotton hood neck sweatshirt
10,AELOMART,Women's Cotton Regular Top(AWT2053-Pn),https://www.amazon.in/AELOMART-Womens-Cotton-Mustard-AWT2053MDW-P/dp/B07PFVX82B,aelomart women cotton regular top awt2053
11,Studio Shringaar,Women's Maxi Skirt Lehenga,https://www.amazon.in/STUDIO-SHRINGAAR-WOMENS-SKIRT-LEHENGA/dp/B082W6P5PX,studio shringaar women maxi skirt lehenga
12,Alan Jones Clothing,Women's Slim Fit Trackpants,https://www.amazon.in/Alan-Jones-Clothing-WM20-JOG-P08-NAVY-M_Navy-Blue_Medium/dp/B08B4SWQ6P,alan jone cloth women slim fit trackpant
13,Van Heusen,Athleisure Women T-Shirt,https://www.amazon.in/Van-Heusen-Womens-55403_Candy-Coral_XL/dp/B07J5PBNY9,van heusen athleisur women shirt
14,OCEAN RACE,Women's Regular Fit Cotton Capris,https://www.amazon.in/OCEAN-RACE-Capri-3-Color-Grape-Coral-New-164-L/dp/B07JD2MQZM,ocean race women regular fit cotton capri
15,Amazon Brand - Symbol,Women's Cotton Blend Hooded Neck Sweatshirt,https://www.amazon.in/Amazon-Brand-Sweatshirt-AW18WNSSW28_Iris-Navy_Medium/dp/B07TW97VDY,amazon brand symbol women cotton blend hood neck sweatshirt
16,Lux Lyra,"Ankle Length Leggings, Multiple colours - Dhanari Exclusive Offer",https://www.amazon.in/LUX-LYRA-Leggings-AL-09/dp/B073RG8Y25,lux lyra ankl length leg multipl colour dhanari exclus offer
17,JUNEBERRY,Cotton Half Sleeve Regular Fit Printed T-Shirt for Women/Girls,https://www.amazon.in/JUNEBERRY-Regular-Printed-T-Shirt-JB_TSH_54_502_Wild_L_Multicolored_Large/dp/B095BZ2S5J,juneberri cotton half sleev regular fit print shirt women girl
18,ZEYO,Women's Cotton Flash Printed Night Suit Set of Shirt & Pyjama 5251,https://www.amazon.in/ZEYO-Womens-Printed-Stylish-X-Large/dp/B08Q7S5WRY,zeyo women cotton flash print night suit set shirt pyjama 5251
19,Generic,Vrnda Women's Readymade Cotton Printed Patiala and Dupatta Set,https://www.amazon.in/Womens-Regular-Patiala-V_Sal_Dup_White_Green-White_Free/dp/B08V4ZLKCN,generic vrnda women readymad cotton print patiala dupatta set
20,Fabricorn,Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women,https://www.amazon.in/Fabricorn-Cotton-Stripes-V-Neck-3X-Large/dp/B093SK83BC,fabricorn plain stylish mustard yellow cross neck cotton tshirt women
21,ZEYO,Women's Cotton Heart Printed Night Suit Set of Shirt & Pyjama 5152,https://www.amazon.in/ZEYO-Womens-Cotton-PlumRed-X-Large/dp/B08NTM9J92,zeyo women cotton heart print night suit set shirt pyjama 5152
22,Stars and You,"Women's Knee Length Formal Pencil Skirt with Elastic Waist Band (Size in inches XS-26, S-28, M-30, L-32, XL- 34, XXL-36 INCHES)",https://www.amazon.in/Stars-You-Womens-Cotton-Elastic/dp/B07JFMB68L,star women knee length formal pencil skirt elast waist band size inch xxl inch
23,SAMJHI,Women's Loose Fit Palazzo,https://www.amazon.in/Samjhi-Cotton-Palazzo-Women-White/dp/B082HHJ4F4,samjhi women loos fit palazzo
24,ZEYO,Women's Cotton Star Printed Night Suit Set of Top & Shorts 5133,https://www.amazon.in/ZEYO-Womens-Cotton-Print-Night/dp/B07PDMMYSF,zeyo women cotton star print night suit set top short 5133
25,ZEYO,Women's Cotton Heart Printed Night Suit Set of Shirt & Pyjama 5274,https://www.amazon.in/ZEYO-Womens-Cotton-Printed-Stylish/dp/B08Q42L8D3,zeyo women cotton heart print night suit set shirt pyjama 5274
26,ZEYO,Women's Cotton Strip Printed Night Suit Set of Shirt & Pyjama 5261,https://www.amazon.in/ZEYO-Lavender-Striped-Printed-Stylish/dp/B08Q3Y674X,zeyo women cotton strip print night suit set shirt pyjama 5261
27,Yash Gallery,Women's Cotton Floral Printed A-Line Kurta for Women,https://www.amazon.in/Yash-Gallery-Womens-Anarkali-190PLYK214MEHROON_Multi_XXX-Large/dp/B08SQKVM5W,yash galleri women cotton floral print line kurta women
28,Amayra,Women Cotton A-Line Kurti(Green),https://www.amazon.in/Amayra-Women-Cotton-Line-Kurti/dp/B07QCV277G,amayra women cotton line kurti green
29,Wear Your Opinion,Women's Army Camouflauge Print Casual (Size XS to 3XL) Long T-Shirt Dress,https://www.amazon.in/Wear-Your-Opinion-Womens-Military/dp/B07MZ7H479,wear opinion women armi camouflaug print casual size 3xl long shirt dress
30,ZEYO,Women's Cotton 3PC's Heart Printed Night Suit 5357,https://www.amazon.in/ZEYO-Womens-Cotton-Triangle-Print/dp/B08R5H77T6,zeyo women cotton 3pc heart print night suit 5357
31,Mysha,Women's Lace And Cotton Solid Sleeve Blouse,https://www.amazon.in/Mysha-Womens-Polyester-Non-Wired-Size-36B/dp/B08ZNMFG9Y,mysha women lace cotton solid sleev blous
32,OCEAN RACE,Women Cotton Capri-3/4 th Pant,https://www.amazon.in/OCEAN-RACE-Capri-3-Color-Hot-Purple-New-174-M/dp/B07JDBH7NG,ocean race women cotton capri pant
33,Style Quotient,Women Self Design Floral lace Regular Open Front Shrug,https://www.amazon.in/Style-Quotient-Blouson-SS19SQAHILYA_Off_WT-White_X-Large/dp/B081VN5MN7,style quotient women self design floral lace regular open front shrug
34,B STORIES,Women's Viscose Printed Culotte Shorts,https://www.amazon.in/STORIES-Womens-Viscose-Culotte-LCULO-001-21031-L/dp/B092R8ZVVN,stori women viscos print culott short
35,ZEYO,Women's Cotton Dot Printed Night Suit Set of Top & Shorts 5226,https://www.amazon.in/ZEYO-Womens-Cotton-Printed-Stylish/dp/B08RDTQFR9,zeyo women cotton dot print night suit set top short 5226
36,Amazon Brand - Symbol,Women's Cotton Blend Hooded Neck Sweatshirt,https://www.amazon.in/Amazon-Brand-Symbol-Sweatshirt-AW18WNSSW33_Carmel_XL/dp/B097CG9Y8P,amazon brand symbol women cotton blend hood neck sweatshirt
37,Khushal K,Women's Rayon Kurta with Palazzo Set,https://www.amazon.in/KHUSHAL-Womens-Printed-Palazzo-X-Large/dp/B07L31JRZM,khushal women rayon kurta palazzo set
38,Janasya,Women Cotton KURTA,https://www.amazon.in/Janasya-Womens-Cotton-Straight-Kurta/dp/B089G31L36,janasya women cotton kurta
39,Monjolika Fashion,Women's Banarasi Silk Blend Woven Zari With Tussles Saree and Jacquard Woven Blouse Piece (37765 color),https://www.amazon.in/Monjolika-Fashion-Womens-Banarasi-37765_Magenta/dp/B08354NT7W,monjolika fashion women banarasi silk blend woven zari tussl sare jacquard woven blous piec 37765 color
